record_id,store_id,year,month,month_name,quarter,category,subcategory,sales_amount,cost_of_goods,gross_profit,gross_margin_pct,staff_cost,rent_cost,utilities_cost,marketing_cost,other_operating_cost,total_operating_cost,net_profit,net_margin_pct,customer_count,avg_basket_value,total_items_sold,avg_items_per_transaction,inventory_turnover_ratio,customer_satisfaction_score
55,ST_0001,2023,10,October,Q4,Groceries,Spices,1782631.99,1580869.01,201762.99,11.32,554106.0,159875.45,14727.3,28915.38,0,304900.96,-103137.98,-5.79,2431,733,7747,3.19,8.29,4.2
56,ST_0001,2023,10,October,Q4,Fresh Produce,Vegetables,1273308.57,900459.82,372848.75,29.28,409545.0,114196.75,8199.25,40335.43,0,160325.71,212523.04,16.69,983,1295,3280,3.34,10.01,4.0
57,ST_0001,2023,10,October,Q4,Personal Care,Bath & Body,763985.14,537174.22,226810.92,29.69,237087.0,68518.05,4456.8,16601.68,0,111531.54,115279.37,15.09,413,1847,1183,2.87,9.4,4.5
58,ST_0001,2023,10,October,Q4,Home Care,Cleaning Supplies,509323.43,377812.1,131511.32,25.82,195822.0,45678.7,4710.5,16647.72,0,66159.66,65351.66,12.83,401,1270,1163,2.9,11.12,4.0
59,ST_0001,2023,10,October,Q4,Electronics,Mobile Accessories,407458.74,323785.63,83673.11,20.54,159278.4,36542.96,2311.44,9906.92,0,54106.01,29567.11,7.26,70,5774,228,3.26,9.05,4.7
60,ST_0001,2023,10,October,Q4,Fashion,Clothing,356526.4,206491.74,150034.66,42.08,126138.6,31975.09,2992.29,5925.26,0,63511.29,86523.37,24.27,120,2968,337,2.81,11.64,4.0
61,ST_0001,2023,11,November,Q4,Groceries,Rice & Grains,1859351.95,1628819.76,230532.19,12.4,548142.0,159875.45,7682.15,52368.21,0,267038.3,-36506.11,-1.96,3033,613,13046,4.3,14.26,3.8
62,ST_0001,2023,11,November,Q4,Fresh Produce,Meat & Fish,1328108.53,1031780.48,296328.06,22.31,520560.0,114196.75,10826.0,22893.86,0,198873.88,97454.17,7.34,1605,827,5138,3.2,12.01,4.6
63,ST_0001,2023,11,November,Q4,Personal Care,Bath & Body,796865.12,596446.74,200418.38,25.15,239355.0,68518.05,4953.3,26284.05,0,104599.82,95818.56,12.02,510,1560,2188,4.29,10.76,3.8
64,ST_0001,2023,11,November,Q4,Home Care,Paper Products,531243.41,383850.3,147393.12,27.74,206130.0,45678.7,4410.8,13545.33,0,64002.18,83390.94,15.7,308,1720,1264,4.11,10.33,4.1
65,ST_0001,2023,11,November,Q4,Electronics,Home Appliances,424994.73,343719.72,81275.01,19.12,149366.4,36542.96,3429.6,10651.9,0,52597.78,28677.23,6.75,111,3797,441,3.97,13.75,4.2
66,ST_0001,2023,11,November,Q4,Fashion,Clothing,371870.39,219058.21,152812.18,41.09,143682.0,31975.09,1679.23,12602.02,0,62359.33,90452.84,24.32,67,5540,217,3.25,12.69,3.9
67,ST_0001,2023,12,December,Q4,Groceries,Oil & Ghee,1029257.86,941164.35,88093.52,8.56,591507.0,159875.45,13748.7,34641.13,0,148704.0,-60610.48,-5.89,1314,783,4482,3.41,9.9,4.4
68,ST_0001,2023,12,December,Q4,Fresh Produce,Meat & Fish,735184.19,573498.34,161685.85,21.99,480465.0,114196.75,11064.5,22934.43,0,101146.56,60539.29,8.23,627,1172,2818,4.49,8.54,3.9
69,ST_0001,2023,12,December,Q4,Personal Care,Oral Care,441110.51,281869.17,159241.34,36.1,255528.0,68518.05,6272.55,13217.24,0,60054.9,99186.44,22.49,278,1582,1155,4.16,8.71,4.3
70,ST_0001,2023,12,December,Q4,Home Care,Cleaning Supplies,294073.68,221994.19,72079.49,24.51,177570.0,45678.7,2116.3,5132.3,0,40409.24,31670.25,10.77,227,1292,740,3.26,13.87,4.3
71,ST_0001,2023,12,December,Q4,Electronics,Mobile Accessories,235258.94,193762.03,41496.91,17.64,122236.8,36542.96,3759.12,3795.26,0,29882.17,11614.74,4.94,43,5385,109,2.55,13.21,4.7
72,ST_0001,2023,12,December,Q4,Fashion,Clothing,205851.57,94874.41,110977.16,53.91,135261.0,31975.09,1489.18,3705.9,0,31355.95,79621.21,38.68,37,5479,122,3.32,8.22,4.7
73,ST_0001,2024,1,January,Q1,Groceries,Oil & Ghee,1221253.52,1054145.89,167107.63,13.68,543690.0,159875.45,10419.85,23663.97,0,176179.43,-9071.8,-0.74,1093,1117,4004,3.66,8.37,4.1
74,ST_0001,2024,1,January,Q1,Fresh Produce,Vegetables,872323.95,691877.64,180446.31,20.69,470550.0,114196.75,7601.25,22265.95,0,154040.07,26406.24,3.03,654,1332,2242,3.43,9.06,4.2
75,ST_0001,2024,1,January,Q1,Personal Care,Hair Care,523394.37,383933.78,139460.59,26.65,255105.0,68518.05,7323.45,9271.64,0,67419.93,72040.67,13.76,542,964,2144,3.96,8.16,3.9
76,ST_0001,2024,1,January,Q1,Home Care,Cleaning Supplies,348929.58,253403.92,95525.66,27.38,187860.0,45678.7,4253.2,12100.68,0,58995.25,36530.41,10.47,334,1043,927,2.78,13.8,3.9
77,ST_0001,2024,1,January,Q1,Electronics,Kitchen Appliances,279143.66,243648.16,35495.51,12.72,165249.6,36542.96,2844.64,4751.05,0,39619.29,-4123.78,-1.48,51,5437,222,4.35,8.5,4.2
78,ST_0001,2024,1,January,Q1,Fashion,Footwear,244250.7,138358.0,105892.7,43.35,113958.6,31975.09,3479.21,8466.67,0,42464.33,63428.38,25.97,41,5855,108,2.66,12.55,4.3
79,ST_0001,2024,2,February,Q1,Groceries,Rice & Grains,1020199.72,876425.72,143774.0,14.09,664566.0,159875.45,8405.25,34594.45,0,124598.13,19175.87,1.88,1056,966,3740,3.54,11.87,4.2
80,ST_0001,2024,2,February,Q1,Fresh Produce,Fruits,728714.09,529254.25,199459.83,27.37,485310.0,114196.75,5560.25,18181.54,0,97869.82,101590.02,13.94,586,1242,1574,2.69,14.0,4.7
81,ST_0001,2024,2,February,Q1,Personal Care,Oral Care,437228.45,292013.14,145215.31,33.21,286065.0,68518.05,7273.8,13502.48,0,66686.85,78528.46,17.96,311,1403,1328,4.27,14.44,4.3
82,ST_0001,2024,2,February,Q1,Home Care,Cleaning Supplies,291485.63,226143.42,65342.21,22.42,166512.0,45678.7,3328.5,6424.35,0,42426.02,22916.19,7.86,278,1047,1171,4.21,12.23,4.2
83,ST_0001,2024,2,February,Q1,Electronics,Kitchen Appliances,233188.51,191956.82,41231.69,17.68,166953.6,36542.96,2051.84,6491.94,0,28948.5,12283.19,5.27,68,3392,266,3.92,11.56,4.1
84,ST_0001,2024,2,February,Q1,Fashion,Clothing,204039.94,105266.9,98773.04,48.41,130607.4,31975.09,2557.52,4636.17,0,32564.52,66208.53,32.45,48,4174,140,2.92,11.61,4.2
85,ST_0001,2024,3,March,Q1,Groceries,Dal & Pulses,1064798.76,912904.78,151893.98,14.27,705873.0,159875.45,12229.7,21045.01,0,135056.34,16837.64,1.58,1003,1061,4086,4.07,14.93,4.1
86,ST_0001,2024,3,March,Q1,Fresh Produce,Dairy Products,760570.54,548982.78,211587.77,27.82,479685.0,114196.75,7449.75,19251.7,0,128296.48,83291.29,10.95,695,1093,2436,3.51,8.4,3.9
87,ST_0001,2024,3,March,Q1,Personal Care,Skin Care,456342.33,302939.2,153403.13,33.62,274554.0,68518.05,5286.9,12292.61,0,55990.75,97412.38,21.35,285,1598,888,3.12,13.36,4.0
88,ST_0001,2024,3,March,Q1,Home Care,Cleaning Supplies,304228.22,227871.21,76357.01,25.1,177996.0,45678.7,4321.9,7010.43,0,39443.08,36913.93,12.13,224,1355,616,2.75,13.38,4.0
89,ST_0001,2024,3,March,Q1,Electronics,Mobile Accessories,243382.57,194028.56,49354.02,20.28,134793.6,36542.96,3945.12,3688.53,0,30663.73,18690.29,7.68,67,3629,289,4.32,8.04,4.1
90,ST_0001,2024,3,March,Q1,Fashion,Clothing,212959.75,135661.31,77298.45,36.3,122745.0,31975.09,2612.54,4964.47,0,34949.36,42349.08,19.89,42,5020,120,2.88,10.08,4.2
91,ST_0001,2024,4,April,Q2,Groceries,Rice & Grains,1332964.64,1221681.49,111283.15,8.35,579810.0,159875.45,12035.45,20992.62,0,220424.69,-109141.54,-8.19,1034,1289,3893,3.77,9.4,4.8
92,ST_0001,2024,4,April,Q2,Fresh Produce,Fruits,952117.6,666796.51,285321.09,29.97,393810.0,114196.75,6841.5,21538.16,0,170687.13,114633.97,12.04,1281,743,4226,3.3,13.37,4.3
93,ST_0001,2024,4,April,Q2,Personal Care,Oral Care,571270.56,349685.26,221585.3,38.79,268425.0,68518.05,5676.3,9514.76,0,92274.11,129311.19,22.64,618,923,1547,2.5,9.89,3.9
94,ST_0001,2024,4,April,Q2,Home Care,Detergents,380847.04,298124.91,82722.13,21.72,162372.0,45678.7,4675.8,6944.58,0,48917.64,33804.49,8.88,192,1980,752,3.92,8.12,4.2
95,ST_0001,2024,4,April,Q2,Electronics,Home Appliances,304677.63,242112.21,62565.42,20.53,167155.2,36542.96,1856.24,9005.95,0,37198.96,25366.46,8.33,67,4499,219,3.28,12.17,3.9
96,ST_0001,2024,4,April,Q2,Fashion,Clothing,266592.93,131373.94,135218.99,50.72,111955.2,31975.09,2746.94,6630.56,0,32591.35,102627.64,38.5,93,2839,375,4.04,13.21,4.5
97,ST_0001,2024,5,May,Q2,Groceries,Spices,1256476.52,1074022.16,182454.36,14.52,577689.0,159875.45,16737.0,24730.07,0,207094.88,-24640.52,-1.96,1336,940,4231,3.17,10.88,4.3
98,ST_0001,2024,5,May,Q2,Fresh Produce,Meat & Fish,897483.23,676336.6,221146.63,24.64,451950.0,114196.75,12094.25,30963.85,0,128148.04,92998.59,10.36,686,1307,2588,3.77,14.44,4.1
99,ST_0001,2024,5,May,Q2,Personal Care,Skin Care,538489.94,366130.08,172359.86,32.01,267435.0,68518.05,4466.7,9999.1,0,83492.89,88866.97,16.5,402,1337,1046,2.6,10.95,4.1
100,ST_0001,2024,5,May,Q2,Home Care,Cleaning Supplies,358993.29,290168.43,68824.86,19.17,161970.0,45678.7,3878.9,6577.31,0,62458.54,6366.32,1.77,194,1850,788,4.06,13.26,4.5
101,ST_0001,2024,5,May,Q2,Electronics,Home Appliances,287194.63,248659.27,38535.36,13.42,138652.8,36542.96,3521.44,7413.21,0,35090.48,3444.88,1.2,54,5304,241,4.46,9.45,4.3
102,ST_0001,2024,5,May,Q2,Fashion,Clothing,251295.3,148139.33,103155.98,41.05,109531.8,31975.09,2567.25,5313.96,0,38968.4,64187.57,25.54,61,4058,245,4.03,8.97,4.4
103,ST_0001,2024,6,June,Q2,Groceries,Spices,1197848.34,1076929.49,120918.85,10.09,558285.0,159875.45,15510.25,39861.05,0,169961.69,-49042.84,-4.09,884,1354,2269,2.57,14.61,4.6
104,ST_0001,2024,6,June,Q2,Fresh Produce,Fruits,855605.96,664418.7,191187.25,22.35,419460.0,114196.75,8217.0,28051.94,0,104816.38,86370.88,10.09,772,1108,3242,4.2,8.74,4.3
105,ST_0001,2024,6,June,Q2,Personal Care,Bath & Body,513363.58,321935.39,191428.18,37.29,270252.0,68518.05,3926.85,12781.29,0,72279.5,119148.68,23.21,382,1341,1172,3.07,13.22,4.2
106,ST_0001,2024,6,June,Q2,Home Care,Detergents,342242.38,268182.17,74060.21,21.64,207072.0,45678.7,3486.6,11397.82,0,43856.54,30203.67,8.83,184,1851,463,2.52,13.01,4.6
107,ST_0001,2024,6,June,Q2,Electronics,Mobile Accessories,273793.91,227410.9,46383.0,16.94,133526.4,36542.96,2940.88,5502.0,0,46318.89,64.11,0.02,79,3458,301,3.82,10.49,4.3
108,ST_0001,2024,6,June,Q2,Fashion,Clothing,239569.67,153675.15,85894.52,35.85,123051.6,31975.09,2666.44,6952.89,0,37369.3,48525.21,20.26,44,5343,169,3.85,14.96,4.4
109,ST_0001,2024,7,July,Q3,Groceries,Oil & Ghee,1052473.1,930420.99,122052.12,11.6,527205.0,159875.45,15383.2,36182.23,0,183611.48,-61559.36,-5.85,1049,1003,2708,2.58,12.41,3.9
110,ST_0001,2024,7,July,Q3,Fresh Produce,Vegetables,751766.5,531804.11,219962.39,29.26,504675.0,114196.75,7691.5,12075.74,0,116800.58,103161.81,13.72,623,1205,2227,3.58,9.96,4.2
111,ST_0001,2024,7,July,Q3,Personal Care,Oral Care,451059.9,299933.21,151126.69,33.5,278568.0,68518.05,4040.7,8936.96,0,80849.01,70277.68,15.58,260,1732,699,2.69,14.82,4.3
112,ST_0001,2024,7,July,Q3,Home Care,Paper Products,300706.6,238691.67,62014.93,20.62,172548.0,45678.7,2623.7,6303.53,0,53528.84,8486.09,2.82,221,1358,583,2.64,11.54,4.8
113,ST_0001,2024,7,July,Q3,Electronics,Kitchen Appliances,240565.28,193880.65,46684.63,19.41,128064.0,36542.96,3665.04,4954.52,0,34106.13,12578.5,5.23,51,4686,168,3.3,9.75,4.6
114,ST_0001,2024,7,July,Q3,Fashion,Accessories,210494.62,129786.99,80707.64,38.34,139528.2,31975.09,1948.8,3406.56,0,32660.82,48046.82,22.83,37,5582,103,2.8,9.0,4.5
115,ST_0001,2024,8,August,Q3,Groceries,Oil & Ghee,947268.6,836595.48,110673.12,11.68,602301.0,159875.45,14481.95,25871.87,0,131187.78,-20514.66,-2.17,1066,888,3069,2.88,11.9,4.2
116,ST_0001,2024,8,August,Q3,Fresh Produce,Vegetables,676620.43,477827.23,198793.2,29.38,404820.0,114196.75,12459.25,17365.33,0,85980.2,112813.0,16.67,772,876,2053,2.66,13.07,3.9
117,ST_0001,2024,8,August,Q3,Personal Care,Oral Care,405972.26,277376.22,128596.04,31.68,308160.0,68518.05,5729.4,10433.24,0,62402.54,66193.49,16.3,259,1566,946,3.65,14.63,3.9
118,ST_0001,2024,8,August,Q3,Home Care,Detergents,270648.17,208590.16,62058.01,22.93,169050.0,45678.7,2966.6,7560.97,0,35830.79,26227.22,9.69,182,1482,500,2.75,11.53,4.8
119,ST_0001,2024,8,August,Q3,Electronics,Kitchen Appliances,216518.54,187994.89,28523.65,13.17,144926.4,36542.96,2696.08,4662.26,0,30128.89,-1605.23,-0.74,49,4385,142,2.91,12.36,4.1
120,ST_0001,2024,8,August,Q3,Fashion,Clothing,189453.72,116750.48,72703.24,38.38,107192.4,31975.09,2879.1,5229.99,0,24458.02,48245.22,25.47,44,4232,191,4.35,11.99,4.7
121,ST_0002,2023,1,January,Q1,Groceries,Spices,1392415.81,1255348.67,137067.14,9.84,765683.8,81664.1,7311.15,42353.1,0,249668.33,-112601.19,-8.09,1225,1136,4923,4.02,13.11,4.4
122,ST_0002,2023,1,January,Q1,Fresh Produce,Meat & Fish,994582.72,795651.83,198930.89,20.0,517292.0,58331.5,10620.75,33622.2,0,139824.25,59106.64,5.94,1113,893,4371,3.93,11.65,4.7
123,ST_0002,2023,1,January,Q1,Personal Care,Oral Care,596749.63,428665.39,168084.25,28.17,361685.7,34998.9,6414.15,9145.25,0,72256.83,95827.41,16.06,500,1193,1575,3.15,9.34,4.1
124,ST_0002,2023,1,January,Q1,Home Care,Paper Products,397833.09,287714.66,110118.43,27.68,273031.9,23332.6,4228.8,11808.57,0,62342.49,47775.94,12.01,265,1496,1012,3.82,11.22,4.2
125,ST_0002,2023,1,January,Q1,Electronics,Mobile Accessories,318266.47,248670.1,69596.37,21.87,215846.96,18666.08,3592.56,7355.23,0,40364.07,29232.3,9.18,116,2727,339,2.93,13.2,4.7
126,ST_0002,2023,1,January,Q1,Fashion,Clothing,278483.16,171721.45,106761.72,38.34,163168.18,16332.82,2322.18,8152.91,0,39867.16,66894.56,24.02,61,4527,210,3.45,10.77,4.5
127,ST_0002,2023,2,February,Q1,Groceries,Dal & Pulses,1387689.29,1276504.9,111184.39,8.01,915712.7,81664.1,14575.05,24967.55,0,246255.92,-135071.54,-9.73,966,1436,2609,2.7,12.81,4.5
128,ST_0002,2023,2,February,Q1,Fresh Produce,Meat & Fish,991206.63,704207.64,286998.99,28.95,515356.5,58331.5,8400.0,29448.88,0,135524.91,151474.08,15.28,835,1186,2726,3.27,11.03,3.8
